time,seconds_elapsed,y,z,x,longitude,latitude
1.72E+18,0.111075928,4.971250057,24.8287487,4.597499847,90.35935,23.72847
1.72E+18,0.121330078,1.837499976,13.59499931,2.266249895,90.35935,23.72847
1.72E+18,0.131584229,1.034999967,13.86249924,1.081249952,90.35935,23.72847
1.72E+18,0.141836914,0.691249967,13.36499977,0.202500001,90.35935,23.72847
1.72E+18,0.152091064,0.5,12.48624992,-0.484999985,90.35935,23.72847
1.72E+18,0.162344971,0.423749983,11.56874943,-0.79124999,90.35935,23.72847
1.72E+18,0.172598877,0.729999959,10.11749935,-0.943749964,90.35935,23.72847
1.72E+18,0.182853027,1.112499952,9.619999886,-0.676249981,90.35935,23.72847
1.72E+18,0.193107178,1.417500019,9.199999809,-0.332499981,90.35935,23.72847
1.72E+18,0.20336084,1.876249909,8.779999733,0.202500001,90.35935,23.72847
1.72E+18,0.21361499,1.952499986,8.62749958,0.354999989,90.35935,23.72847
1.72E+18,0.223869141,1.952499986,8.512499809,0.469999999,90.35935,23.72847
1.72E+18,0.234122803,1.876249909,8.473750114,0.508749962,90.35935,23.72847
1.72E+18,0.244376953,1.991249919,8.473750114,0.622500002,90.35935,23.72847
1.72E+18,0.254630127,2.028749943,8.473750114,0.776250005,90.35935,23.72847
1.72E+18,0.264884033,1.991249919,8.359999657,0.698749959,90.35935,23.72847
1.72E+18,0.275137939,1.991249919,8.130000114,0.584999979,90.35935,23.72847
1.72E+18,0.28539209,1.914999962,7.901249886,0.431249976,90.35935,23.72847
1.72E+18,0.295645996,1.952499986,7.710000038,0.393749982,90.35935,23.72847
1.72E+18,0.305899902,1.914999962,7.671249866,0.202500001,90.35935,23.72847
1.72E+18,0.316154053,1.952499986,7.747499943,0.049999997,90.35935,23.72847
1.72E+18,0.326407959,1.991249919,7.59499979,-0.103749998,90.35935,23.72847
1.72E+18,0.336661865,2.105000019,7.59499979,-0.064999998,90.35935,23.72847
1.72E+18,0.346916016,2.105000019,7.289999962,-0.217500001,90.35935,23.72847
1.72E+18,0.357170166,2.182499886,7.327499866,-0.332499981,90.35935,23.72847
1.72E+18,0.367423096,2.220000029,7.480000019,-0.371250004,90.35935,23.72847
1.72E+18,0.377677002,2.258749962,7.786249638,-0.332499981,90.35935,23.72847
1.72E+18,0.387930908,2.258749962,8.282500267,-0.293749988,90.35935,23.72847
1.72E+18,0.398185059,2.182499886,8.588749886,-0.332499981,90.35935,23.72847
1.72E+18,0.408438965,2.105000019,8.779999733,-0.44749999,90.35935,23.72847
1.72E+18,0.418692871,2.258749962,8.97124958,-0.408749998,90.35935,23.72847
1.72E+18,0.428947021,2.411249876,8.97124958,-0.332499981,90.35935,23.72847
1.72E+18,0.439200928,2.678750038,8.894999504,-0.026249999,90.35935,23.72847
1.72E+18,0.449455078,3.137500048,8.62749958,0.508749962,90.35935,23.72847
1.72E+18,0.459708984,3.251250029,8.512499809,0.737500012,90.35935,23.72847
1.72E+18,0.469962158,3.404999971,8.588749886,0.852499962,90.35935,23.72847
1.72E+18,0.48021582,3.481249809,8.932499886,0.776250005,90.35935,23.72847
1.72E+18,0.490469971,3.137500048,9.811249733,0.241249993,90.35935,23.72847
1.72E+18,0.500724121,2.831249952,10.2699995,-0.179999992,90.35935,23.72847
1.72E+18,0.510978027,2.639999866,10.53749943,-0.484999985,90.35935,23.72847
1.72E+18,0.521231934,2.526249886,10.53749943,-0.867500007,90.35935,23.72847
1.72E+18,0.531486084,2.563750029,10.34624958,-0.90625,90.35935,23.72847
